Series;Time;Value
1w;2019-05-24T05:10:00+05:30;4.8
1w;2019-05-24T05:11:00+05:30;4.2
1w;2019-05-24T05:12:00+05:30;5.4
1w;2019-05-24T05:13:00+05:30;5.6
1w;2019-05-24T05:14:00+05:30;5.6
1w;2019-05-24T05:15:00+05:30;6.6
1w;2019-05-24T05:16:00+05:30;7.6
1w;2019-05-24T05:17:00+05:30;7.2
1w;2019-05-24T05:18:00+05:30;7.6
1w;2019-05-24T05:19:00+05:30;9.6
1w;2019-05-24T05:20:00+05:30;9.4
1w;2019-05-24T05:21:00+05:30;8.4
1w;2019-05-24T05:22:00+05:30;8.6
1w;2019-05-24T05:23:00+05:30;8.4
1w;2019-05-24T05:24:00+05:30;7.2
1w;2019-05-24T05:25:00+05:30;6.2
1w;2019-05-24T05:26:00+05:30;6.8
1w;2019-05-24T05:27:00+05:30;6.2
1w;2019-05-24T05:28:00+05:30;5.6
1w;2019-05-24T05:29:00+05:30;5.4
1w;2019-05-24T05:30:00+05:30;5.2
1w;2019-05-24T05:31:00+05:30;4.6
1w;2019-05-24T05:32:00+05:30;5.4
1w;2019-05-24T05:33:00+05:30;5.6
1w;2019-05-24T05:34:00+05:30;4.8
1w;2019-05-24T05:35:00+05:30;47.4
1w;2019-05-24T05:36:00+05:30;93.8
1w;2019-05-24T05:37:00+05:30;137.8
1w;2019-05-24T05:38:00+05:30;183
1w;2019-05-24T05:39:00+05:30;227.6
1w;2019-05-24T05:40:00+05:30;228.4
1w;2019-05-24T05:41:00+05:30;224.8
1w;2019-05-24T05:42:00+05:30;218.8
1w;2019-05-24T05:43:00+05:30;213.6
1w;2019-05-24T05:44:00+05:30;208.6
1w;2019-05-24T05:45:00+05:30;205.8
1w;2019-05-24T05:46:00+05:30;200.6
1w;2019-05-24T05:47:00+05:30;194.8
1w;2019-05-24T05:48:00+05:30;182.4
1w;2019-05-24T05:49:00+05:30;142.8
1w;2019-05-24T05:50:00+05:30;102.6
1w;2019-05-24T05:51:00+05:30;65.4
1w;2019-05-24T05:52:00+05:30;32.4
1w;2019-05-24T05:53:00+05:30;4.8
1w;2019-05-24T05:54:00+05:30;5.6
1w;2019-05-24T05:55:00+05:30;5.2
1w;2019-05-24T05:56:00+05:30;5.2
1w;2019-05-24T05:57:00+05:30;4.4
1w;2019-05-24T05:58:00+05:30;4
1w;2019-05-24T05:59:00+05:30;4
1w;2019-05-24T06:00:00+05:30;4.8
1w;2019-05-24T06:01:00+05:30;3.6
1w;2019-05-24T06:02:00+05:30;6
1w;2019-05-24T06:03:00+05:30;6.6
1w;2019-05-24T06:04:00+05:30;5.4
1w;2019-05-24T06:05:00+05:30;5.4
1w;2019-05-24T06:06:00+05:30;5.6
1w;2019-05-24T06:07:00+05:30;3.4
1w;2019-05-24T06:08:00+05:30;2.8
1w;2019-05-24T06:09:00+05:30;3.2
1w;2019-05-24T06:10:00+05:30;2.8
1w;2019-05-24T06:11:00+05:30;4
1w;2019-05-24T06:12:00+05:30;3.8
1w;2019-05-24T06:13:00+05:30;3.6
1w;2019-05-24T06:14:00+05:30;3.6
1w;2019-05-24T06:15:00+05:30;2.8
1w;2019-05-24T06:16:00+05:30;2
1w;2019-05-24T06:17:00+05:30;2.6
1w;2019-05-24T06:18:00+05:30;4
1w;2019-05-24T06:19:00+05:30;4.4
1w;2019-05-24T06:20:00+05:30;4.6
1w;2019-05-24T06:21:00+05:30;4.2
1w;2019-05-24T06:22:00+05:30;4.2
1w;2019-05-24T06:23:00+05:30;2.8
1w;2019-05-24T06:24:00+05:30;2.4
1w;2019-05-24T06:25:00+05:30;2
1w;2019-05-24T06:26:00+05:30;2.4
1w;2019-05-24T06:27:00+05:30;2.8
1w;2019-05-24T06:28:00+05:30;3.8
1w;2019-05-24T06:29:00+05:30;4
1w;2019-05-24T06:30:00+05:30;4.2
1w;2019-05-24T06:31:00+05:30;4
1w;2019-05-24T06:32:00+05:30;3
1w;2019-05-24T06:33:00+05:30;2.8
1w;2019-05-24T06:34:00+05:30;2.4
1w;2019-05-24T06:35:00+05:30;2.2
1w;2019-05-24T06:36:00+05:30;2.6
1w;2019-05-24T06:37:00+05:30;2.6
1w;2019-05-24T06:38:00+05:30;2.8
1w;2019-05-24T06:39:00+05:30;3
1w;2019-05-24T06:40:00+05:30;3.2
1w;2019-05-24T06:41:00+05:30;3
1w;2019-05-24T06:42:00+05:30;3.4
1w;2019-05-24T06:43:00+05:30;2.8
1w;2019-05-24T06:44:00+05:30;2.4
1w;2019-05-24T06:45:00+05:30;2.6
1w;2019-05-24T06:46:00+05:30;2.6
1w;2019-05-24T06:47:00+05:30;2.4
1w;2019-05-24T06:48:00+05:30;2.2
1w;2019-05-24T06:49:00+05:30;2.6
1w;2019-05-24T06:50:00+05:30;2.4
1w;2019-05-24T06:51:00+05:30;2.2
1w;2019-05-24T06:52:00+05:30;2.8
1w;2019-05-24T06:53:00+05:30;3
1w;2019-05-24T06:54:00+05:30;3
1w;2019-05-24T06:55:00+05:30;2.8
1w;2019-05-24T06:56:00+05:30;3.4
1w;2019-05-24T06:57:00+05:30;3.2
1w;2019-05-24T06:58:00+05:30;3.2
1w;2019-05-24T06:59:00+05:30;3.2
1w;2019-05-24T07:00:00+05:30;4
1w;2019-05-24T07:01:00+05:30;3.75
1w;2019-05-24T07:02:00+05:30;3.25
1w;2019-05-24T07:03:00+05:30;3.5
1w;2019-05-24T07:04:00+05:30;3.25
1w;2019-05-24T07:05:00+05:30;3
1w;2019-05-24T07:06:00+05:30;3
1w;2019-05-24T07:07:00+05:30;3.8
1w;2019-05-24T07:08:00+05:30;3.8
1w;2019-05-24T07:09:00+05:30;4.4
1w;2019-05-24T07:10:00+05:30;3.8
1w;2019-05-24T07:11:00+05:30;3.4
1w;2019-05-24T07:12:00+05:30;2.2
1w;2019-05-24T07:13:00+05:30;1.6
1w;2019-05-24T07:14:00+05:30;0.8
1w;2019-05-24T07:15:00+05:30;1.2
1w;2019-05-24T07:16:00+05:30;1
1w;2019-05-24T07:17:00+05:30;0.8
1w;2019-05-24T07:18:00+05:30;1
1w;2019-05-24T07:19:00+05:30;1.6
1w;2019-05-24T07:20:00+05:30;1.6
1w;2019-05-24T07:21:00+05:30;1.8
1w;2019-05-24T07:22:00+05:30;2
1w;2019-05-24T07:23:00+05:30;2
1w;2019-05-24T07:24:00+05:30;1.8
1w;2019-05-24T07:25:00+05:30;1.6
1w;2019-05-24T07:26:00+05:30;1.8
1w;2019-05-24T07:27:00+05:30;2
1w;2019-05-24T07:28:00+05:30;1.8
1w;2019-05-24T07:29:00+05:30;1.4
1w;2019-05-24T07:30:00+05:30;1.6
1w;2019-05-24T07:31:00+05:30;1.2
1w;2019-05-24T07:32:00+05:30;1.4
1w;2019-05-24T07:33:00+05:30;1.4
1w;2019-05-24T07:34:00+05:30;1.4
1w;2019-05-24T07:35:00+05:30;2.4
1w;2019-05-24T07:36:00+05:30;2.6
1w;2019-05-24T07:37:00+05:30;2.2
1w;2019-05-24T07:38:00+05:30;2.6
1w;2019-05-24T07:39:00+05:30;3.4
1w;2019-05-24T07:40:00+05:30;2
1w;2019-05-24T07:41:00+05:30;2
1w;2019-05-24T07:42:00+05:30;2
1w;2019-05-24T07:43:00+05:30;1.6
1w;2019-05-24T07:44:00+05:30;1
1w;2019-05-24T07:45:00+05:30;1.2
1w;2019-05-24T07:46:00+05:30;1.2
1w;2019-05-24T07:47:00+05:30;2.2
1w;2019-05-24T07:48:00+05:30;2.4
1w;2019-05-24T07:49:00+05:30;2.2
1w;2019-05-24T07:50:00+05:30;2.8
1w;2019-05-24T07:51:00+05:30;3.6
1w;2019-05-24T07:52:00+05:30;3
1w;2019-05-24T07:53:00+05:30;2.8
1w;2019-05-24T07:54:00+05:30;3
1w;2019-05-24T07:55:00+05:30;3.4
1w;2019-05-24T07:56:00+05:30;3
1w;2019-05-24T07:57:00+05:30;2.6
1w;2019-05-24T07:58:00+05:30;2.8
1w;2019-05-24T07:59:00+05:30;2.6
1w;2019-05-24T08:00:00+05:30;1.6
1w;2019-05-24T08:01:00+05:30;1.4
1w;2019-05-24T08:02:00+05:30;1.8
1w;2019-05-24T08:03:00+05:30;2
1w;2019-05-24T08:04:00+05:30;2.2
1w;2019-05-24T08:05:00+05:30;2
1w;2019-05-24T08:06:00+05:30;1.8
1w;2019-05-24T08:07:00+05:30;1.6
1w;2019-05-24T08:08:00+05:30;1.2
1w;2019-05-24T08:09:00+05:30;1.2
1w;2019-05-24T08:10:00+05:30;1.2
1w;2019-05-24T08:11:00+05:30;1.4
1w;2019-05-24T08:12:00+05:30;1.4
1w;2019-05-24T08:13:00+05:30;1.6
1w;2019-05-24T08:14:00+05:30;1.4
1w;2019-05-24T08:15:00+05:30;1.6
1w;2019-05-24T08:16:00+05:30;1.8
1w;2019-05-24T08:17:00+05:30;1.8
1w;2019-05-24T08:18:00+05:30;2
1w;2019-05-24T08:19:00+05:30;2.2
1w;2019-05-24T08:20:00+05:30;2
1w;2019-05-24T08:21:00+05:30;2
1w;2019-05-24T08:22:00+05:30;1.6
1w;2019-05-24T08:23:00+05:30;1.4
1w;2019-05-24T08:24:00+05:30;1.2
1w;2019-05-24T08:25:00+05:30;1.8
1w;2019-05-24T08:26:00+05:30;1.4
1w;2019-05-24T08:27:00+05:30;1.8
1w;2019-05-24T08:28:00+05:30;2.6
1w;2019-05-24T08:29:00+05:30;3.2
1w;2019-05-24T08:30:00+05:30;2.8
1w;2019-05-24T08:31:00+05:30;2.6
1w;2019-05-24T08:32:00+05:30;2.6
1w;2019-05-24T08:33:00+05:30;1.8
1w;2019-05-24T08:34:00+05:30;1.2
1w;2019-05-24T08:35:00+05:30;1.2
1w;2019-05-24T08:36:00+05:30;1.4
1w;2019-05-24T08:37:00+05:30;1.25
1w;2019-05-24T08:38:00+05:30;2
1w;2019-05-24T08:39:00+05:30;3
1w;2019-05-24T08:40:00+05:30;2.75
1w;2019-05-24T08:41:00+05:30;2.75
1w;2019-05-24T08:42:00+05:30;2.6
1w;2019-05-24T08:43:00+05:30;1.8
1w;2019-05-24T08:44:00+05:30;1.6
1w;2019-05-24T08:45:00+05:30;1.8
1w;2019-05-24T08:46:00+05:30;2.4
1w;2019-05-24T08:47:00+05:30;2
1w;2019-05-24T08:48:00+05:30;2
1w;2019-05-24T08:49:00+05:30;1.8
1w;2019-05-24T08:50:00+05:30;2
1w;2019-05-24T08:51:00+05:30;1.2
1w;2019-05-24T08:52:00+05:30;1.2
1w;2019-05-24T08:53:00+05:30;1
1w;2019-05-24T08:54:00+05:30;1
1w;2019-05-24T08:55:00+05:30;1
1w;2019-05-24T08:56:00+05:30;1.2
1w;2019-05-24T08:57:00+05:30;1.4
1w;2019-05-24T08:58:00+05:30;2.2
1w;2019-05-24T08:59:00+05:30;2.2
1w;2019-05-24T09:00:00+05:30;2.6
1w;2019-05-24T09:01:00+05:30;2.6
1w;2019-05-24T09:02:00+05:30;3
1w;2019-05-24T09:03:00+05:30;2.6
1w;2019-05-24T09:04:00+05:30;2.8
1w;2019-05-24T09:05:00+05:30;2.4
1w;2019-05-24T09:06:00+05:30;2.6
1w;2019-05-24T09:07:00+05:30;2.2
1w;2019-05-24T09:08:00+05:30;2.6
1w;2019-05-24T09:09:00+05:30;3
1w;2019-05-24T09:10:00+05:30;3.2
1w;2019-05-24T09:11:00+05:30;3
1w;2019-05-24T09:12:00+05:30;3.2
1w;2019-05-24T09:13:00+05:30;2.4
1w;2019-05-24T09:14:00+05:30;1.6
1w;2019-05-24T09:15:00+05:30;1.2
1w;2019-05-24T09:16:00+05:30;2
1w;2019-05-24T09:17:00+05:30;1.6
1w;2019-05-24T09:18:00+05:30;2
1w;2019-05-24T09:19:00+05:30;1.6
1w;2019-05-24T09:20:00+05:30;2
1w;2019-05-24T09:21:00+05:30;1.2
1w;2019-05-24T09:22:00+05:30;1.4
1w;2019-05-24T09:23:00+05:30;1.8
1w;2019-05-24T09:24:00+05:30;2
1w;2019-05-24T09:25:00+05:30;1.8
1w;2019-05-24T09:26:00+05:30;2.2
1w;2019-05-24T09:27:00+05:30;2.8
1w;2019-05-24T09:28:00+05:30;2.6
1w;2019-05-24T09:29:00+05:30;2.6
1w;2019-05-24T09:30:00+05:30;2.8
1w;2019-05-24T09:31:00+05:30;2.6
1w;2019-05-24T09:32:00+05:30;2.4
1w;2019-05-24T09:33:00+05:30;2.2
1w;2019-05-24T09:34:00+05:30;2.4
1w;2019-05-24T09:35:00+05:30;2
1w;2019-05-24T09:36:00+05:30;2.4
1w;2019-05-24T09:37:00+05:30;1.8
1w;2019-05-24T09:38:00+05:30;2
1w;2019-05-24T09:39:00+05:30;2.2
1w;2019-05-24T09:40:00+05:30;2.6
1w;2019-05-24T09:41:00+05:30;2.4
1w;2019-05-24T09:42:00+05:30;2.6
